#造型表,,,,,
#id,造型ID,ICON组,角度,缩进,重组ID
%id,shape_id,item_sets,rotation,tighten,reshape
$[id:unique][id:type:int],[shape_id:type:int],[item_sets:type:List<class@FQDev.CubeMaster3D.GamePlay.Game.LevelCreator.ItemSet>],[rotation:type:class@ConfigFields.Vector3],[tighten:type:class@FQDev.CubeMaster3D.GamePlay.Index],[reshape:type:int]
268,509,17:30,,,0
269,502,17:30,,,0
270,523,17:30,,,0
271,142,17:30,,,0
272,134,17:30,,,0
273,35,17:30,,,0
274,30,17:30,,,0
275,22,17:30,,,0
276,46,17:30,,,0
277,28,17:30,,,1004
1004,4,17:30,,,0
278,18,17:30,,,1050
1050,50,17:30,,,0
279,212,17:30,,,0
280,252,17:30,,,0
281,105,17:30,,,0
282,163,202:30,,,0
283,167,17:30,,,0
284,177,17:30,,,0
285,66,17:30,,,1072
1018,18,17:30,,,0
286,270,17:30,,,1017
1017,17,17:30,,,0
287,88,17:30,,,0
288,296,17:30,,,0
289,86,17:30,,,0
1031,31,17:30,,,0
290,114,17:30,,,0
291,83,17:30,,,0
292,116,17:30,,,1070
1083,83,17:30,,,0
293,21,17:30,,,0
294,65,17:30,,,1064
295,71,17:30,,,1040
296,101,17:30,,,1028
297,506,17:30,,,0
298,522,17:30,,,0
299,519,17:30,,,0
300,525,17:30,,,0
301,527,17:30,,,0
302,68,17:30,,,0
303,138,17:30,,,0
10024,24,17:30,,,0
10025,25,17:30,,,0
10026,26,17:30,,,0
10027,27,17:30,,,0
10028,28,17:30,,,0
10029,29,17:30,,,0
10030,30,17:30,,,0
10031,31,17:30,,,0
10032,32,17:30,,,0
10033,33,17:30,,,0
10034,34,17:30,,,0
10035,35,17:30,,,0
10036,36,17:30,,,0
10037,37,17:30,,,0
10038,38,17:30,,,0
10039,39,17:30,,,0
10040,40,17:30,,,0
10041,41,17:30,,,0
10042,42,17:30,,,0
10043,43,17:30,,,0
10044,44,17:30,,,0
10045,45,17:30,,,0
10046,46,17:30,,,0
10047,47,17:30,,,0
10048,48,17:30,,,0
10049,49,17:30,,,0
10050,50,17:30,,,0
10051,51,17:30,,,0
10052,52,17:30,,,0
10053,53,17:30,,,0
10054,54,17:30,,,0
10055,55,17:30,,,0
10056,56,17:30,,,0
10057,57,17:30,,,0
10058,58,17:30,,,0
10059,59,17:30,,,0
10060,60,17:30,,,0
10061,61,17:30,,,0
10062,62,17:30,,,0
10063,63,17:30,,,0
10064,64,17:30,,,0
10065,65,17:30,,,0
10066,66,17:30,,,0
10067,67,17:30,,,0
10068,68,17:30,,,0
10069,69,17:30,,,0
10070,70,17:30,,,0
10071,71,17:30,,,0
10072,72,17:30,,,0
10073,73,17:30,,,0
10074,74,17:30,,,0
10075,75,17:30,,,0
10076,76,17:30,,,0
10077,77,17:30,,,0
10078,78,17:30,,,0
10079,79,17:30,,,0
10080,80,17:30,,,0
10081,81,17:30,,,0
10082,82,17:30,,,0
10083,83,17:30,,,0
10084,84,17:30,,,0
10085,85,17:30,,,0
10086,86,17:30,,,0
10087,87,17:30,,,0
10088,88,17:30,,,0
10089,89,17:30,,,0
10090,90,17:30,,,0
10091,91,17:30,,,0
10092,92,17:30,,,0
10093,93,17:30,,,0
10094,94,17:30,,,0
10095,95,17:30,,,0
10096,96,17:30,,,0
10097,97,17:30,,,0
10098,98,17:30,,,0
10099,99,17:30,,,0
10100,100,17:30,,,0
10101,101,17:30,,,0
10102,102,17:30,,,0
10103,103,17:30,,,0
10104,104,17:30,,,0
10105,105,17:30,,,0
10106,106,17:30,,,0
10107,107,17:30,,,0
10108,108,17:30,,,0
10109,109,17:30,,,0
10110,110,17:30,,,0
10111,111,17:30,,,0
10112,112,17:30,,,0
10113,113,17:30,,,0
10114,114,17:30,,,0
10115,115,17:30,,,0
10116,116,17:30,,,0
10117,117,17:30,,,0
10118,118,17:30,,,0
10119,119,17:30,,,0
10120,120,17:30,,,0
10121,121,17:30,,,0
10122,122,17:30,,,0
10123,123,17:30,,,0
10124,124,17:30,,,0
10125,125,17:30,,,0
10126,126,17:30,,,0
10127,127,17:30,,,0
10128,128,17:30,,,0
10129,129,17:30,,,0
10130,130,17:30,,,0
10131,131,17:30,,,0
10132,132,17:30,,,0
10133,133,17:30,,,0
10134,134,17:30,,,0
10135,135,17:30,,,0
10136,136,17:30,,,0
10137,137,17:30,,,0
10138,138,17:30,,,0
10139,139,17:30,,,0
10140,140,17:30,,,0
10141,141,17:30,,,0
10142,142,17:30,,,0
10143,143,17:30,,,0
10144,144,17:30,,,0
10145,145,17:30,,,0
10146,146,17:30,,,0
10147,147,17:30,,,0
10148,148,17:30,,,0
10149,149,17:30,,,0
10150,150,17:30,,,0
10151,151,17:30,,,0
10152,152,17:30,,,0
10153,153,17:30,,,0
10154,154,17:30,,,0
10155,155,17:30,,,0
10156,156,17:30,,,0
10157,157,17:30,,,0
10158,158,17:30,,,0
10159,159,17:30,,,0
10160,160,17:30,,,0
10161,161,17:30,,,0
10162,162,17:30,,,0
10163,163,17:30,,,0
10164,164,17:30,,,0
10165,165,17:30,,,0
10166,166,17:30,,,0
10167,167,17:30,,,0
10168,168,17:30,,,0
10169,169,17:30,,,0
10170,170,17:30,,,0
10171,171,17:30,,,0
10172,172,17:30,,,0
10173,173,17:30,,,0
10174,174,17:30,,,0
10175,175,17:30,,,0
10176,176,17:30,,,0
10177,177,17:30,,,0
10178,178,17:30,,,0
10179,179,17:30,,,0
10180,180,17:30,,,0
10181,181,17:30,,,0
10182,182,17:30,,,0
10183,183,17:30,,,0
10184,184,17:30,,,0
10185,185,17:30,,,0
10186,186,17:30,,,0
10187,187,17:30,,,0
10188,188,17:30,,,0
10189,189,17:30,,,0
10190,190,17:30,,,0
10191,191,17:30,,,0
10192,192,17:30,,,0
10193,193,17:30,,,0
10194,194,17:30,,,0
10195,195,17:30,,,0
10196,196,17:30,,,0
10197,197,17:30,,,0
10198,198,17:30,,,0
10199,199,17:30,,,0
10201,500,17:30,,,0
10200,501,17:30,,,0
10203,502,17:30,,,0
10503,503,17:30,,,0
10504,504,17:30,,,0
10202,505,17:30,,,0
10204,506,17:30,,,0
10507,507,17:30,,,0
10205,508,17:30,,,0
10207,509,17:30,,,0
10510,510,17:30,,,0
10511,511,17:30,,,0
10512,512,17:30,,,0
10513,513,17:30,,,0
10221,514,17:30,,,0
10213,515,17:30,,,0
10516,516,17:30,,,0
10517,517,17:30,,,0
10222,518,17:30,,,0
10519,519,17:30,,,0
10217,520,17:30,,,0
10219,521,17:30,,,0
10223,522,17:30,,,0
10523,523,17:30,,,0
10524,524,17:30,,,0
10230,525,17:30,,,0
10224,526,17:30,,,0
10267,527,17:30,,,0
10227,528,17:30,,,0
10282,200,17:30,,,0
10228,201,17:30,,,0
10287,202,17:30,,,0
10232,203,17:30,,,0
10234,204,17:30,,,0
10501,205,17:30,,,0
10206,206,17:30,,,0
10505,207,17:30,,,0
10208,208,17:30,,,0
10209,209,17:30,,,0
10210,210,17:30,,,0
10211,211,17:30,,,0
10212,212,17:30,,,0
10254,213,17:30,,,0
10214,214,17:30,,,0
10215,215,17:30,,,0
10216,216,17:30,,,0
10261,217,17:30,,,0
10218,218,17:30,,,0
10264,219,17:30,,,0
10220,220,17:30,,,0
10508,221,17:30,,,0
10509,222,17:30,,,0
10265,223,17:30,,,0
10266,224,17:30,,,0
10225,225,17:30,,,0
10226,226,17:30,,,0
10268,227,17:30,,,0
10270,228,17:30,,,0
10229,229,17:30,,,0
10514,230,17:30,,,0
10231,231,17:30,,,0
10273,232,17:30,,,0
10233,233,17:30,,,0
10274,234,17:30,,,0
10235,235,17:30,,,0
10236,236,17:30,,,0
10237,237,17:30,,,0
10238,238,17:30,,,0
10239,239,17:30,,,0
10240,240,17:30,,,0
10241,241,17:30,,,0
10242,242,17:30,,,0
10243,243,17:30,,,0
10244,244,17:30,,,0
10245,245,17:30,,,0
10246,246,17:30,,,0
10247,247,17:30,,,0
10248,248,17:30,,,0
10249,249,17:30,,,0
10250,250,17:30,,,0
10251,251,17:30,,,0
10252,252,17:30,,,0
10253,253,17:30,,,0
10275,254,17:30,,,0
10255,255,17:30,,,0
10256,256,17:30,,,0
10257,257,17:30,,,0
10258,258,17:30,,,0
10259,259,17:30,,,0
10260,260,17:30,,,0
10277,261,17:30,,,0
10262,262,17:30,,,0
10263,263,17:30,,,0
10278,264,17:30,,,0
10280,265,17:30,,,0
10284,266,17:30,,,0
10518,267,17:30,,,0
10291,268,17:30,,,0
10269,269,17:30,,,0
10292,270,17:30,,,0
10271,271,17:30,,,0
10272,272,17:30,,,0
10294,273,17:30,,,0
10295,274,17:30,,,0
10298,275,17:30,,,0
10276,276,17:30,,,0
10299,277,17:30,,,0
10308,278,17:30,,,0
10279,279,17:30,,,0
10500,280,17:30,,,0
10281,281,17:30,,,0
10525,282,17:30,,,0
10283,283,17:30,,,0
10502,284,17:30,,,0
10285,285,17:30,,,0
10286,286,17:30,,,0
10527,287,17:30,,,0
10288,288,17:30,,,0
10289,289,17:30,,,0
10290,290,17:30,,,0
10506,291,17:30,,,0
10515,292,17:30,,,0
10293,293,17:30,,,0
10520,294,17:30,,,0
10521,295,17:30,,,0
10296,296,17:30,,,0
10297,297,17:30,,,0
10522,298,17:30,,,0
10526,299,17:30,,,0
10300,300,17:30,,,0
10301,301,17:30,,,0
10302,302,17:30,,,0
10303,303,17:30,,,0
10304,304,17:30,,,0
10305,305,17:30,,,0
10307,307,17:30,,,0
10528,308,17:30,,,0
10310,310,17:30,,,0
10311,311,17:30,,,0
10312,312,17:30,,,0
20095,95,17:30,,,10082
20096,96,17:30,,,10084
20097,97,17:30,,,10038
20098,98,17:30,,,10039
20100,100,17:30,,,10029
20103,103,17:30,,,10058
20104,104,17:30,,,10064
20107,107,17:30,,,10069
20109,109,17:30,,,10076
20115,115,17:30,,,10078
20099,99,17:30,,,10024
20101,101,17:30,,,10025
20105,105,17:30,,,10026
20106,106,17:30,,,10028
20110,110,17:30,,,10029
20133,133,17:30,,,10043
20135,135,17:30,,,10082
20163,163,17:30,,,10084
20168,168,17:30,,,10087
20170,170,17:30,,,10025
30066,66,17:30,,-1|1|-1,0
30180,180,17:30,,-1|-1|0,0
30186,186,17:30,,-1|3|-1,0
30201,201,17:30,,-1|1|-1,0
30219,219,17:30,,1|-1|1,0
30223,223,17:30,,1|-1|1,0
30277,277,17:30,,1|-1|1,0
30184,184,17:30,,-1|1|-1,0
30185,185,17:30,,-1|3|-1,0
30187,187,17:30,,-1|3|-1,0
30210,210,17:30,,-1|1|-1,0
30257,257,17:30,,1|-1|1,0
30243,243,17:30,,2|-1|2,
30244,244,17:30,,2|-1|0,
30246,246,17:30,,-1|4|-1,
