#内购项目表
#id,谷歌产品id,苹果产品id,产品类型(Consumable = 0|消耗型 NonConsumable = 1 非消耗型|Subscription = 2 订阅),美元
%id,apple_productId,apple_productId,product_type,us_dollor
$[id:unique][id:type:int],[apple_productId:type:string],[apple_productId:type:string],[product_type:type:int],[us_dollor:type:float]
52,com.hexamaster3d.google.super_moon_pack,com.hexamaster3d.apple.super_moon_pack,0,12.99
53,com.hexamaster3d.google.victory_booster_pack,com.hexamaster3d.apple.victory_booster_pack,0,9.99
54,com.hexamaster3d.google.leo_special_pack,com.hexamaster3d.apple.leo_special_pack,0,12.99
55,com.hexamaster3d.google.happy_game_pack,com.hexamaster3d.apple.happy_game_pack,0,12.99
56,com.hexamaster3d.google.super_sun_pack,com.hexamaster3d.apple.super_sun_pack,0,19.99
57,com.hexamaster3d.google.sagittarius_special_pack,com.hexamaster3d.apple.sagittarius_special_pack,0,25.99
58,com.hexamaster3d.google.free_health_pack,com.hexamaster3d.apple.free_health_pack,0,2.99
59,com.hexamaster3d.google.novice_bundle_v1,com.hexamaster3d.apple.novice_bundle_v1,0,1.99
60,com.hexamaster3d.google.novice_bundle_v2,com.hexamaster3d.apple.novice_bundle_v2,0,3.99
61,com.hexamaster3d.google.novice_bundle_v3,com.hexamaster3d.apple.novice_bundle_v3,0,5.99
62,com.hexamaster3d.google.novice_bundle_v4,com.hexamaster3d.apple.novice_bundle_v4,0,5.99
63,com.hexamaster3d.google.gold_bundle_v11,com.hexamaster3d.apple.gold_bundle_v11,0,2.99
64,com.hexamaster3d.google.gold_bundle_v12,com.hexamaster3d.apple.gold_bundle_v12,0,5.99
65,com.hexamaster3d.google.gold_bundle_v13,com.hexamaster3d.apple.gold_bundle_v13,0,9.99
66,com.hexamaster3d.google.gold_bundle_v14,com.hexamaster3d.apple.gold_bundle_v14,0,9.99
67,com.hexamaster3d.google.hammers_bundle_v11,com.hexamaster3d.apple.hammers_bundle_v11,0,2.99
68,com.hexamaster3d.google.hammers_bundle_v12,com.hexamaster3d.apple.hammers_bundle_v12,0,5.99
69,com.hexamaster3d.google.hammers_bundle_v13,com.hexamaster3d.apple.hammers_bundle_v13,0,9.99
70,com.hexamaster3d.google.hammers_bundle_v14,com.hexamaster3d.apple.hammers_bundle_v14,0,9.99
71,com.hexamaster3d.google.drag_bundle_v11,com.hexamaster3d.apple.drag_bundle_v11,0,2.99
72,com.hexamaster3d.google.drag_bundle_v12,com.hexamaster3d.apple.drag_bundle_v12,0,5.99
73,com.hexamaster3d.google.drag_bundle_v13,com.hexamaster3d.apple.drag_bundle_v13,0,9.99
74,com.hexamaster3d.google.drag_bundle_v14,com.hexamaster3d.apple.drag_bundle_v14,0,9.99
75,com.hexamaster3d.google.refresh_bundle_v11,com.hexamaster3d.apple.refresh_bundle_v11,0,2.99
76,com.hexamaster3d.google.refresh_bundle_v12,com.hexamaster3d.apple.refresh_bundle_v12,0,5.99
77,com.hexamaster3d.google.refresh_bundle_v13,com.hexamaster3d.apple.refresh_bundle_v13,0,9.99
78,com.hexamaster3d.google.refresh_bundle_v14,com.hexamaster3d.apple.refresh_bundle_v14,0,9.99
79,com.hexamaster3d.google.gold_bundle_v21,com.hexamaster3d.apple.gold_bundle_v21,0,4.99
80,com.hexamaster3d.google.gold_bundle_v22,com.hexamaster3d.apple.gold_bundle_v22,0,9.99
81,com.hexamaster3d.google.gold_bundle_v23,com.hexamaster3d.apple.gold_bundle_v23,0,14.99
82,com.hexamaster3d.google.gold_bundle_v24,com.hexamaster3d.apple.gold_bundle_v24,0,14.99
83,com.hexamaster3d.google.hammers_bundle_v21,com.hexamaster3d.apple.hammers_bundle_v21,0,4.99
84,com.hexamaster3d.google.hammers_bundle_v22,com.hexamaster3d.apple.hammers_bundle_v22,0,9.99
85,com.hexamaster3d.google.hammers_bundle_v23,com.hexamaster3d.apple.hammers_bundle_v23,0,14.99
86,com.hexamaster3d.google.hammers_bundle_v24,com.hexamaster3d.apple.hammers_bundle_v24,0,14.99
87,com.hexamaster3d.google.drag_bundle_v21,com.hexamaster3d.apple.drag_bundle_v21,0,4.99
88,com.hexamaster3d.google.drag_bundle_v22,com.hexamaster3d.apple.drag_bundle_v22,0,9.99
89,com.hexamaster3d.google.drag_bundle_v23,com.hexamaster3d.apple.drag_bundle_v23,0,14.99
90,com.hexamaster3d.google.drag_bundle_v24,com.hexamaster3d.apple.drag_bundle_v24,0,14.99
91,com.hexamaster3d.google.refresh_bundle_v21,com.hexamaster3d.apple.refresh_bundle_v21,0,4.99
92,com.hexamaster3d.google.refresh_bundle_v22,com.hexamaster3d.apple.refresh_bundle_v22,0,9.99
93,com.hexamaster3d.google.refresh_bundle_v23,com.hexamaster3d.apple.refresh_bundle_v23,0,14.99
94,com.hexamaster3d.google.refresh_bundle_v24,com.hexamaster3d.apple.refresh_bundle_v24,0,14.99
95,com.hexamaster3d.google.gold_bundle_v31,com.hexamaster3d.apple.gold_bundle_v31,0,6.99
96,com.hexamaster3d.google.gold_bundle_v32,com.hexamaster3d.apple.gold_bundle_v32,0,12.99
97,com.hexamaster3d.google.gold_bundle_v33,com.hexamaster3d.apple.gold_bundle_v33,0,19.99
98,com.hexamaster3d.google.gold_bundle_v34,com.hexamaster3d.apple.gold_bundle_v34,0,19.99
99,com.hexamaster3d.google.hammers_bundle_v31,com.hexamaster3d.apple.hammers_bundle_v31,0,6.99
100,com.hexamaster3d.google.hammers_bundle_v32,com.hexamaster3d.apple.hammers_bundle_v32,0,12.99
101,com.hexamaster3d.google.hammers_bundle_v33,com.hexamaster3d.apple.hammers_bundle_v33,0,19.99
102,com.hexamaster3d.google.hammers_bundle_v34,com.hexamaster3d.apple.hammers_bundle_v34,0,19.99
103,com.hexamaster3d.google.drag_bundle_v31,com.hexamaster3d.apple.drag_bundle_v31,0,6.99
104,com.hexamaster3d.google.drag_bundle_v32,com.hexamaster3d.apple.drag_bundle_v32,0,12.99
105,com.hexamaster3d.google.drag_bundle_v33,com.hexamaster3d.apple.drag_bundle_v33,0,19.99
106,com.hexamaster3d.google.drag_bundle_v34,com.hexamaster3d.apple.drag_bundle_v34,0,19.99
107,com.hexamaster3d.google.refresh_bundle_v31,com.hexamaster3d.apple.refresh_bundle_v31,0,6.99
108,com.hexamaster3d.google.refresh_bundle_v32,com.hexamaster3d.apple.refresh_bundle_v32,0,12.99
109,com.hexamaster3d.google.refresh_bundle_v33,com.hexamaster3d.apple.refresh_bundle_v33,0,19.99
110,com.hexamaster3d.google.refresh_bundle_v34,com.hexamaster3d.apple.refresh_bundle_v34,0,19.99
111,com.hexamaster3d.google.challenge_bundle_1,com.hexamaster3d.apple.challenge_bundle_1,0,1.99
112,com.hexamaster3d.google.challenge_bundle_2,com.hexamaster3d.apple.challenge_bundle_2,0,2.99
113,com.hexamaster3d.google.challenge_bundle_3,com.hexamaster3d.apple.challenge_bundle_3,0,4.99
114,com.hexamaster3d.google.challenge_bundle_4,com.hexamaster3d.apple.challenge_bundle_4,0,6.99
115,com.hexamaster3d.google.challenge_bundle_5,com.hexamaster3d.apple.challenge_bundle_5,0,9.99
116,com.hexamaster3d.google.challenge_bundle_6,com.hexamaster3d.apple.challenge_bundle_6,0,12.99
117,com.hexamaster3d.google.challenge_bundle_7,com.hexamaster3d.apple.challenge_bundle_7,0,19.99
118,com.hexamaster3d.google.challenge_bundle_8,com.hexamaster3d.apple.challenge_bundle_8,0,24.99
119,com.hexamaster3d.google.never_give_up_1,com.hexamaster3d.apple.never_give_up_1,0,2.99
120,com.hexamaster3d.google.never_give_up_2,com.hexamaster3d.apple.never_give_up_2,0,6.99
121,com.hexamaster3d.google.never_give_up_3,com.hexamaster3d.apple.never_give_up_3,0,12.99
