#随机关卡表
#id,造型ID,
%id,shape_ids,gold_blocks,group
$[id:unique][id:type:int],[shape_ids:type:List<int>],[gold_blocks:type:List<int>],[group:type:int]
10232,10232,-1,0
10234,10234,-1,52
10501,10501,-1,31
10206,10206,-1,41
10505,10505,-1,31
10208,10208,-1,41
10209,10209,-1,41
10210,10210,-1,41
10211,10211,-1,41
10212,10212,-1,0
10254,10254,-1,52
10214,10214,-1,71
10215,10215,-1,71
10216,10216,-1,0
10261,10261,-1,0
10218,10218,-1,41
10264,10264,-1,0
10220,10220,-1,42
10508,10508,-1,31
10509,10509,-1,31
10265,10265,-1,0
10266,10266,-1,2
10225,10225,-1,61
10226,10226,-1,61
10268,10268,-1,52
10270,10270,-1,52
10229,10229,-1,61
10514,10514,-1,31
10231,10231,-1,42
10273,10273,-1,0
10233,10233,-1,61
10274,10274,-1,0
10235,10235,-1,61
10236,10236,-1,71
10237,10237,-1,71
10238,10238,-1,61
10239,10239,-1,71
10240,10240,-1,61
10241,10241,-1,71
10242,10242,-1,0
10243,10243,-1,61
10244,10244,-1,61
10245,10245,-1,61
10246,10246,-1,62
10247,10247,-1,0
10248,10248,-1,0
10249,10249,-1,72
10250,10250,-1,72
10251,10251,-1,62
10252,10252,-1,72
10253,10253,-1,62
10275,10275,-1,0
10255,10255,-1,72
10256,10256,-1,62
10257,10257,-1,42
10258,10258,-1,62
10259,10259,-1,72
10260,10260,-1,62
10277,10277,-1,52
10262,10262,-1,42
10263,10263,-1,42
10278,10278,-1,0
10280,10280,-1,0
10284,10284,-1,0
10518,10518,-1,31
10291,10291,-1,0
10269,10269,-1,42
10292,10292,-1,0
10271,10271,-1,42
10272,10272,-1,42
10294,10294,-1,0
10295,10295,-1,0
10298,10298,-1,0
10276,10276,-1,62
10299,10299,-1,0
10308,10308,-1,52
10279,10279,-1,62
10500,10500,-1,0
10281,10281,-1,42
10525,10525,-1,31
10283,10283,-1,42
10502,10502,-1,2
10285,10285,-1,72
10286,10286,-1,0
10527,10527,-1,31
10288,10288,-1,0
10289,10289,-1,0
10290,10290,-1,62
10506,10506,-1,2
10515,10515,-1,0
10293,10293,-1,62
10520,10520,-1,0
10521,10521,-1,2
10296,10296,-1,0
10297,10297,-1,0
10522,10522,-1,2
10526,10526,-1,2
10300,10300,-1,0
10301,10301,-1,0
10302,10302,-1,0
10303,10303,-1,0
10304,10304,-1,72
10305,10305,-1,0
10307,10307,-1,0
10528,10528,-1,2
10310,10310,-1,0
10311,10311,-1,0
10312,10312,-1,0
40313,10027|10090,0|-1,4051
40314,10030|10114,0|-1,4051
40315,10032|10118,0|-1,4051
40316,10033|10126,0|-1,4051
40317,10034|10132,0|-1,4051
40318,10035|10143,0|-1,4052
40319,10037|10159,0|-1,4052
40320,10042|10164,0|-1,4052
40321,10046|10188,0|-1,4052
40322,10310|10189,0|-1,4052
20095,20095,-1,2041
20096,20096,-1,2041
20097,20097,-1,2041
20098,20098,-1,2041
20100,20100,-1,2041
20103,20103,-1,2041
20104,20104,-1,2041
20107,20107,-1,2041
20109,20109,-1,2041
20115,20115,-1,2041
20099,20099,-1,2051
20101,20101,-1,2051
20105,20105,-1,2051
20106,20106,-1,2051
20110,20110,-1,2051
20133,20133,-1,2051
20135,20135,-1,2051
20163,20163,-1,2051
20168,20168,-1,2051
20170,20170,-1,2051
30066,30066,-1,3051
30180,30180,-1,3051
30186,30186,-1,3051
30201,30201,-1,3051
30219,30219,-1,3051
30223,30223,-1,3051
30277,30277,-1,3051
30184,30184,-1,3041
30185,30185,-1,3041
30187,30187,-1,3041
30210,30210,-1,3041
30257,30257,-1,3041
30243,30243,-1,3061
30244,30244,-1,3061
30246,30246,-1,3061
