#货品表,,,
#id,名称,模型,是否可以变换为黄金块
%id,name,model,gold_change_toggle
$[id:unique][id:type:int],[name:type:string],[model:type:string],[gold_change_toggle:type:int]
10062,绿色大肚罐子,gm2d_texture_makeups_2,1
10063,红色大肚罐子,gm2d_texture_makeups_3,1
10064,紫色高档瓶子,gm2d_texture_makeups_4,0
10065,浅橙色粉饼,gm2d_texture_makeups_5,0
10066,黑壳九宫格粉饼,gm2d_texture_makeups_6,1
10067,粉色毛刷,gm2d_texture_makeups_7,1
10068,粉色乳液,gm2d_texture_makeups_8,1
10069,紫壳四格粉饼,gm2d_texture_makeups_9,1
10070,毛巾,gm2d_texture_makeups_10,1
10071,镜子,gm2d_texture_makeups_11,1
10072,紫色透明大肚瓶,gm2d_texture_makeups_12,1
10073,红色透明大肚高档瓶,gm2d_texture_makeups_13,1
10074,粉色睫毛刷,gm2d_texture_makeups_14,1
10075,紫色腮红刷,gm2d_texture_makeups_15,1
10076,粉色大肚不透明瓶,gm2d_texture_makeups_16,1
10077,粉壳单格粉饼,gm2d_texture_makeups_17,1
10078,蓝色方瓶,gm2d_texture_makeups_18,1
10079,紫红色透明大肚瓶,gm2d_texture_makeups_19,1
10080,口红粉紫把,gm2d_texture_makeups_20,1
10081,水桶蓝色,gm2d_texture_DailyNecessities_1,1
10082,花洒橙色,gm2d_texture_DailyNecessities_2,1
10083,卷纸,gm2d_texture_DailyNecessities_3,1
10084,海绵块,gm2d_texture_DailyNecessities_4,1
10085,香皂盒紫色,gm2d_texture_DailyNecessities_5,1
10086,绿色格子毛巾,gm2d_texture_DailyNecessities_6,1
10087,粉紫掸子,gm2d_texture_DailyNecessities_7,1
10088,橙色喷水壶,gm2d_texture_DailyNecessities_8,1
10089,黄色篮子,gm2d_texture_DailyNecessities_9,1
10090,蓝色毛线,gm2d_texture_DailyNecessities_10,1
10091,紫红闹钟,gm2d_texture_DailyNecessities_11,1
10092,黄绿毛巾,gm2d_texture_DailyNecessities_12,1
10093,木质水桶,gm2d_texture_DailyNecessities_13,1
10094,剪刀,gm2d_texture_DailyNecessities_14,1
10095,菜刀,gm2d_texture_DailyNecessities_15,1
10096,防烫手套,gm2d_texture_DailyNecessities_16,1
10097,不锈钢盆,gm2d_texture_DailyNecessities_17,1
10098,小锄头,gm2d_texture_DailyNecessities_18,1
10099,黄色花洒,gm2d_texture_DailyNecessities_19,1
10100,红色煎锅,gm2d_texture_DailyNecessities_20,1
10101,紫色果子,gm2d_texture_fruit_1,1
10102,西瓜一片,gm2d_texture_fruit_2,1
10103,香蕉,gm2d_texture_fruit_3,1
10104,绿色梨子,gm2d_texture_fruit_4,1
10105,苹果,gm2d_texture_fruit_5,1
10106,葡萄,gm2d_texture_fruit_6,1
10107,石榴没打开,gm2d_texture_fruit_7,1
10108,芒果,gm2d_texture_fruit_8,1
10109,榴莲,gm2d_texture_fruit_9,1
10110,椰子,gm2d_texture_fruit_10,1
10111,猕猴桃,gm2d_texture_fruit_11,1
10112,柠檬,gm2d_texture_fruit_12,1
10113,橙子,gm2d_texture_fruit_13,1
10114,黄桃,gm2d_texture_fruit_14,1
10115,水蜜桃,gm2d_texture_fruit_15,1
10116,蓝莓,gm2d_texture_fruit_16,0
10117,车厘子,gm2d_texture_fruit_17,1
10118,火龙果,gm2d_texture_fruit_18,1
10119,哈密瓜,gm2d_texture_fruit_19,1
10120,菠萝,gm2d_texture_fruit_20,1
10121,红色烤面包机,gm2d_texture_device_1,1
10122,橙色台灯,gm2d_texture_device_2,1
10123,银色怀表,gm2d_texture_device_3,1
10124,黑色照相机,gm2d_texture_device_4,1
10125,粉紫色显示屏,gm2d_texture_device_5,1
10126,紫色闹钟,gm2d_texture_device_6,1
10127,蓝紫色台灯,gm2d_texture_device_7,1
10128,黄色瞭望镜,gm2d_texture_device_8,1
10129,黄色风扇,gm2d_texture_device_9,1
10130,黄色笔记本电脑,gm2d_texture_device_10,1
10131,绿色座机,gm2d_texture_device_11,1
10132,紫色头戴耳机,gm2d_texture_device_12,1
10133,紫色烧烤架,gm2d_texture_device_13,1
10134,黑色咖啡机,gm2d_texture_device_14,1
10135,绿色烤面包机,gm2d_texture_device_15,1
10136,黄色照相机,gm2d_texture_device_16,1
10137,紫色咖啡机,gm2d_texture_device_17,1
10138,黄色饮料机,gm2d_texture_device_18,1
10139,深绿留声机,gm2d_texture_device_19,1
10140,粉色榨汁机,gm2d_texture_device_20,1
10141,橙色鱼,gm2d_texture_seafood_1,1
10142,蓝白鱼下到上,gm2d_texture_seafood_2,1
10143,蓝白鱼上到下,gm2d_texture_seafood_3,1
10144,白色扇贝,gm2d_texture_seafood_4,1
10145,白色海螺,gm2d_texture_seafood_5,1
10146,蓝色虾,gm2d_texture_seafood_6,1
10147,橙色小蟹,gm2d_texture_seafood_7,1
10148,紫色扇贝,gm2d_texture_seafood_8,1
10149,紫色海螺,gm2d_texture_seafood_9,1
10150,亮蓝鱼,gm2d_texture_seafood_10,1
10151,蓝紫灯笼鱼,gm2d_texture_seafood_11,1
10152,黄色刺豚鱼,gm2d_texture_seafood_12,1
10153,粉色水母,gm2d_texture_seafood_13,1
10154,深红克总,gm2d_texture_seafood_14,1
10155,蓝色蜗牛,gm2d_texture_seafood_15,1
10156,蓝色水母,gm2d_texture_seafood_16,1
10157,蓝色飞鱼,gm2d_texture_seafood_17,1
10158,橙色大蟹,gm2d_texture_seafood_18,1
10159,粉紫扇贝,gm2d_texture_seafood_19,1
10160,小丑鱼,gm2d_texture_seafood_20,1
10161,橙红尖尖糖,gm2d_texture_snack_1,1
10162,蓝纸水果硬糖,gm2d_texture_snack_2,1
10163,木盆粉色爱心糖,gm2d_texture_snack_3,1
10164,白碟虫子糖,gm2d_texture_snack_4,1
10165,黄盖大肚透明瓶水果糖,gm2d_texture_snack_5,1
10166,紫色蝴蝶节糖,gm2d_texture_snack_6,1
10167,粉色酱饼干,gm2d_texture_snack_7,1
10168,黄色冰淇淋,gm2d_texture_snack_8,1
10169,巧克力甜筒,gm2d_texture_snack_9,1
10170,巧克力草莓甜筒,gm2d_texture_snack_10,1
10171,巧克力饼干,gm2d_texture_snack_11,1
10172,蛋卷,gm2d_texture_snack_12,1
10173,巧克力巧乐兹,gm2d_texture_snack_13,1
10174,樱桃水果布丁,gm2d_texture_snack_14,1
10175,花瓣状布丁,gm2d_texture_snack_15,1
10176,白酱粉红撒料饼干,gm2d_texture_snack_16,1
10177,白色方块饼干,gm2d_texture_snack_17,1
10178,薯条,gm2d_texture_snack_18,1
10179,薯片,gm2d_texture_snack_19,1
10180,白盘红色布丁,gm2d_texture_snack_20,1
10181,黄色车,gm2d_texture_Toy_1,1
10182,蓝色车,gm2d_texture_Toy_2,1
10183,鳄鱼坐,gm2d_texture_Toy_3,1
10184,红色陀螺,gm2d_texture_Toy_4,1
10185,黄色飞机,gm2d_texture_Toy_5,1
10186,小黄鸭,gm2d_texture_Toy_6,1
10187,白衣爱心小熊,gm2d_texture_Toy_7,1
10188,西洋棋,gm2d_texture_Toy_8,1
10189,黄色拖车,gm2d_texture_Toy_9,1
10190,黄蓝插片积木,gm2d_texture_Toy_10,1
10191,黄黑皮球,gm2d_texture_Toy_11,1
10192,橙色车,gm2d_texture_Toy_12,1
10193,黄红鼓,gm2d_texture_Toy_13,1
10194,粉色独角兽,gm2d_texture_Toy_14,1
10195,红白皮球,gm2d_texture_Toy_15,1
10196,红色拳套惊吓盒,gm2d_texture_Toy_16,1
10197,粉色猪,gm2d_texture_Toy_17,1
10198,四格魔方,gm2d_texture_Toy_18,1
10199,风车,gm2d_texture_Toy_19,1
10200,气球,gm2d_texture_Toy_20,1
10201,紫色大蒜,gm2d_texture_vegetable_1,1
10202,南瓜,gm2d_texture_vegetable_2,1
10203,小白菜,gm2d_texture_vegetable_3,1
10204,西蓝花,gm2d_texture_vegetable_4,1
10205,胡萝卜,gm2d_texture_vegetable_5,1
10206,大葱,gm2d_texture_vegetable_6,1
10207,大红甜椒,gm2d_texture_vegetable_7,1
10208,土豆,gm2d_texture_vegetable_8,1
10209,红薯,gm2d_texture_vegetable_9,1
10210,紫皮萝卜,gm2d_texture_vegetable_10,1
10211,白色大蒜,gm2d_texture_vegetable_11,1
10212,玉米,gm2d_texture_vegetable_12,1
10213,番茄,gm2d_texture_vegetable_13,1
10214,小尖辣椒,gm2d_texture_vegetable_14,1
10215,茄子,gm2d_texture_vegetable_15,1
10216,圆包菜,gm2d_texture_vegetable_16,1
10217,白色花菜,gm2d_texture_vegetable_17,1
10218,紫甘蓝,gm2d_texture_vegetable_18,1
10219,西湖瓜,gm2d_texture_vegetable_19,1
10220,苦瓜,gm2d_texture_vegetable_20,1
