30,3,2,0,999,8,15,30,55,70|30|0,64|45|45,27|45|45,10|10|10,58|58|58,32|32|32,10|10|10,0.004,0.3,0.2,10|45|10
31,3,3,0,999,8,20,25,55,70|30|0,60|45|45,30|40|40,10|15|15,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|40|15
32,3,4,1,999,8,20,25,55,70|30|0,58|43|43,32|40|40,10|17|17,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,10|40|17
33,3,5,0,999,7,20,25,55,70|30|0,55|39|39,35|40|40,10|21|21,50|50|50,40|40|40,10|10|10,0.004,0.3,0.2,10|40|21
34,3,6,0,999,7,20,25,55,70|30|0,53|37|37,37|40|40,10|23|23,47|47|47,43|43|43,10|10|10,0.004,0.3,0.2,10|40|23
35,3,7,0,999,7,25,25,50,70|30|0,51|35|35,39|40|40,10|25|25,45|45|45,45|45|45,10|10|10,0.004,0.3,0.2,10|40|25
36,3,8,0,999,7,25,25,50,70|30|0,48|31|31,42|40|40,10|29|29,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,10|40|29
37,3,9,0,999,7,25,30,45,70|30|0,46|30|30,44|39|39,10|31|31,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,10|39|31
38,3,10,0,999,6,25,30,45,70|30|0,33|30|30,52|35|35,15|35|35,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,15|35|35
39,3,11,0,999,6,25,35,40,70|30|0,35|30|30,50|30|30,15|40|40,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,15|30|40
40,3,12,0,999,6,25,35,40,70|30|0,29|24|24,56|30|30,15|46|46,32|32|32,58|58|58,10|10|10,0.004,0.3,0.2,15|30|46
41,3,13,0,999,6,25,35,40,70|30|0,25|24|24,55|30|30,20|46|46,30|30|30,60|60|60,10|10|10,0.004,0.3,0.2,20|30|46
42,3,14,0,999,6,25,35,40,70|30|0,19|18|18,61|30|30,20|52|52,28|28|28,62|62|62,10|10|10,0.004,0.3,0.2,20|30|52
43,999,1,0,999,9,15,35,50,70|30|0,70|50|50,20|40|40,10|10|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|40|10
44,999,2,0,999,9,15,30,55,70|30|0,49|33|32,41|40|58,10|27|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|58|10
45,999,3,0,999,9,10,40,50,70|30|0,68|48|48,23|42|42,10|10|10,58|58|58,32|32|32,10|10|10,0.004,0.3,0.2,10|42|10
46,999,4,0,999,9,15,30,55,70|30|0,55|39|38,35|40|52,10|21|10,58|58|58,32|32|32,10|10|10,0.004,0.3,0.2,10|52|10
47,999,5,0,999,9,15,35,50,70|30|0,54|39|38,36|40|52,10|21|10,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|52|10
48,999,6,0,999,9,20,25,55,70|30|0,44|30|29,46|37|61,10|33|10,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|61|10
49,999,7,0,999,9,15,35,50,70|30|0,56|41|40,34|40|50,10|19|10,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,10|50|10
50,999,8,0,999,9,20,25,55,70|30|0,35|30|25,50|37|60,15|33|15,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,15|60|15
51,999,9,0,999,9,15,35,50,70|30|0,55|39|38,35|40|52,10|21|10,50|50|50,40|40|40,10|10|10,0.004,0.3,0.2,10|52|10
52,999,10,0,999,9,25,25,50,70|30|0,35|30|19,50|30|66,15|40|15,50|50|50,40|40|40,10|10|10,0.004,0.3,0.2,15|66|15
53,999,11,0,999,9,15,30,55,70|30|0,50|33|35,40|40|55,10|27|10,47|47|47,43|43|43,10|10|10,0.004,0.3,0.2,10|55|10
54,999,12,0,999,9,15,30,55,70|30|0,44|30|29,46|37|61,10|33|10,47|47|47,43|43|43,10|10|10,0.004,0.3,0.2,10|61|10
55,999,13,0,999,9,20,25,55,70|30|0,33|30|23,52|35|62,15|35|15,45|45|45,45|45|45,10|10|10,0.004,0.3,0.2,15|62|15
56,999,14,0,999,9,20,25,55,70|30|0,53|37|37,37|40|40,10|23|23,45|45|45,45|45|45,10|10|10,0.004,0.3,0.2,10|40|23
57,999,15,0,999,9,20,25,55,70|30|0,29|30|19,56|31|66,15|39|15,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,15|66|15
58,999,16,0,999,9,20,25,55,70|30|0,35|30|25,50|37|60,15|33|15,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,15|60|15
59,999,17,0,999,9,20,25,55,70|30|0,60|45|45,30|40|40,10|15|15,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,10|40|15
60,999,18,0,999,9,25,25,50,70|30|0,25|24|15,55|30|70,20|46|15,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,20|70|15
61,999,19,0,999,9,25,25,50,70|30|0,19|18|9,61|30|76,20|52|15,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,20|76|15
62,999,20,0,999,9,25,25,50,70|30|0,51|35|35,39|40|40,10|25|25,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,10|40|25
63,999,21,0,999,9,25,30,45,70|30|0,46|30|30,44|39|39,10|31|31,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,10|39|31
64,999,22,0,999,9,25,25,50,70|30|0,48|31|31,42|40|40,10|29|29,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,10|40|29
65,999,23,0,999,9,25,35,40,70|30|0,35|30|30,50|30|30,15|40|40,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,15|30|40
66,999,24,0,999,9,25,30,45,70|30|0,33|30|30,52|35|35,15|35|35,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,15|35|35
67,999,25,0,999,9,25,35,40,70|30|0,29|24|24,56|30|30,15|46|46,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,15|30|46
68,999,26,0,999,9,25,35,40,70|30|0,25|24|24,55|30|30,20|46|46,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,20|30|46
69,999,27,0,999,9,25,35,40,70|30|0,25|20|22,55|30|30,20|48|48,32|32|32,58|58|58,10|10|10,0.004,0.3,0.2,20|30|48
70,999,28,0,999,9,25,35,40,70|30|0,23|20|22,58|30|30,20|48|48,32|32|32,58|58|58,10|10|10,0.004,0.3,0.2,20|30|48
71,999,29,0,999,9,25,35,40,70|30|0,19|18|18,61|30|30,20|52|52,30|30|30,60|60|60,10|10|10,0.004,0.3,0.2,20|30|52
72,999,30,0,999,9,20,40,40,70|30|0,19|18|18,61|30|30,20|52|52,30|30|30,60|60|60,10|10|10,0.004,0.3,0.2,20|30|52
73,999,31,0,999,9,20,40,40,70|30|0,19|18|16,61|30|32,20|52|52,28|28|28,62|62|62,10|10|10,0.004,0.3,0.2,20|32|52
74,999,32,0,999,9,20,40,40,70|30|0,19|18|16,61|30|30,20|52|54,28|28|28,62|62|62,10|10|10,0.004,0.3,0.2,20|30|54
