#LocalAI配置表,,,,
#唯一Id,名字,得分
%id,name,score
$[id:unique][id:type:int],[name:type:string],[score:type:int]
108,player2022111676,59154
109,Ida,58580
110,Scar,58533
111,Rosemary,58469
112,Claude,58450
113,You,58404
114,Felxi,58399
115,player2022629214,58334
116,Pall,58331
117,Christy,58279
118,Clarence,58264
119,Nathaniel,58128
120,Wahaha,58067
121,Wqesadqq,57734
122,Wqfsafd,57705
123,Soledad,57461
124,Randall,57371
125,release,57313
126,Adsd,57269
127,Brittany,57230
128,Beginner,57176
129,Surging,57142
130,player2023259452,57135
131,Drakedog,56830
132,player2021545240,56679
133,Katherine,56582
134,player2022877127,56523
135,player2021191988,56458
136,Bradley,56313
137,Ignacio,56131
138,Salvador,56057
139,Moonlight,56039
140,Peter,55967
141,player202215726,55919
142,Conrad,55896
143,player2023445072,55890
144,Sheryl,55855
145,Ellis,55792
146,Cora,55612
147,Emmett,55558
148,Lester,55501
149,Marcia,55231
150,Wendell,55204
151,Homer,55168
152,player2021375976,54906
153,Abel,54806
154,player2021793687,54400
155,Rita,54370
156,player20232894,54366
157,Kelly,54219
158,player2021772009,54216
159,player2022697578,54208
160,Maybe,54142
161,Alading,54038
162,player2021921635,53969
163,Felix,53875
164,Shun,53850
165,release,53816
166,player2023824708,53600
167,Estelle,53443
168,Wus,53251
169,player2023772031,53228
170,Estrus,53207
171,Rockbaby,52986
172,player2022416272,52853
173,Liixuwei,52842
174,Oliver,52826
175,GIitter,52815
176,player202120448,52692
177,player2021595860,52251
178,Henry,52227
179,Magicgirl,51904
180,player2021231917,51868
181,player2021627804,51700
182,player2022604785,51554
183,Ttankk,51488
184,Alison,51165
185,Raigoj,51150
186,Redemption,51130
187,Lynda,51126
188,Crazy,51048
189,Heart,51010
190,Clc,50985
191,Seth,50981
192,Spencer,50870
193,player2022162991,50835
194,Geoffrey,50790
195,player2022331933,50703
196,Lance,50576
197,Nightwoman,50498
198,Too,50360
199,Monster,50013
200,Kook,49317
201,Juan,49233
202,Casey,48963
203,Zizizi,48765
204,player2023594255,48724
205,player2021260794,48723
206,Steven,48721
207,player202396964,48701
208,player20226249,48603
209,Kelley,48462
210,Steve,48184
211,Moonlight,48143
212,Telas,48123
213,Linainverse,47865
214,Mike,47824
215,player202334881,47682
216,Elk,47645
217,Bobby,47449
218,Youhavechanged,47336
219,Marlene,47218
220,Van,47204
221,Clara,47111
222,player2022958079,46978
223,Arthur,46937
224,player2022659281,46903
225,Leli,46875
226,prejudice,46778
227,Delores,46653
228,Raymond,46605
229,player2023149824,46414
230,Cecilia,46287
231,player2021151159,46137
232,Erwter,45931
233,player20222592,45840
234,player2023242653,45826
235,Kristin,45474
236,George,45439
237,Chad,45351
238,Jm,45319
239,Uio,45231
240,player2022179501,45155
241,Bamboo,45018
242,Melth,44994
243,Defy,44825
244,player2023510801,44796
245,player2022819807,44703
246,player2023357806,44690
247,Floating,44624
248,player2021626651,44618
249,player2023896400,44599
250,player2022167162,44426
251,Pearl,44401
252,Lana,44328
253,Moon,44113
254,player2021700477,44099
255,player2021778163,43959
256,Derek,43878
257,Becauseoflove,43860
258,player202228670,43431
259,player2023599768,43382
260,Genevieve,43328
261,Helen,43321
262,Julian,43227
263,Lorena,43211
264,Josh,43200
265,Zaz,43086
266,Mae,43068
267,Uncleli,43020
268,player2023125123,43018
269,SailorMoon,42823
270,Kate,42799
271,player2023289589,42786
272,Lorraine,42706
273,Fernando,42650
274,player2022598632,42479
275,player2023558192,42356
276,William,42178
277,Amber,41946
278,Benjamin,41838
279,Rogelio,41836
280,Star,41189
281,Bill,41148
282,Affair,41003
283,Della,41002
284,player2021974454,40947
285,Beginner,40853
286,Soko,40844
287,Larry,40736
288,Greg,40720
289,player2022651769,40698
290,solomemory,40522
291,Kenny,40521
292,Melody,40379
293,Magicgirl,40313
294,Rosalie,40308
295,Vickie,40307
296,rostiute,40287
297,Ella,40257
298,Marsha,40219
299,Heh,40100
300,Darrin,39933
301,player2021922562,39902
302,Maxine,39833
303,Cynthia,39808
304,player2021785204,39783
305,player2021810399,39766
306,Charles,39720
307,Fredrick,39630
308,player2022961230,39612
309,player202334209,39536
310,player2022527187,39520
311,Lloyd,39518
312,Savior,39464
313,Seth,39332
314,Wallace,39295
315,player202224685,39288
316,player2023980276,39253
317,player2023963823,39105
318,Budeliao,39099
319,Owen,39069
320,Weiyi,39033
321,Pellet,38984
322,Ac,38951
323,Rewind,38948
324,Low,38912
325,player2021990815,38874
326,Ympa,38852
327,Kellie,38735
328,Camille,38735
329,Asdsad,38707
330,Ann,38705
331,player2023702676,38600
332,Sharon,38538
333,player2022422788,38503
334,Ashley,38464
335,IntheFlesh,38427
336,Jerome,38427
337,Rosa,38381
338,player2023860692,38368
339,Chelsea,38367
340,Frances,38327
341,Darryl,38327
342,Andre,38246
343,Beofnoimportance,38193
344,Sadie,38189
345,Edgar,38091
346,player2021920063,38031
347,Jeannette,37955
348,player202315465,37838
349,Moses,37809
350,Brad,37776
351,player2023353793,37739
352,player2021815546,37606
353,Sdfsd,37583
354,Miriam,37567
355,Claudia,37551
356,Coolbra,37512
357,Abcdef,37500
358,player2021750982,37494
359,Neithercandidate,37384
360,Oldtestament,37340
361,Jim,37306
362,Hras,37284
363,player2023832434,37210
364,Rrwe,37149
365,player2022338640,37147
366,Fkull,37074
367,freak,37000
368,player2023195157,36989
369,player2021544933,36877
370,Georgia,36739
371,RedDress,36731
372,player202275982,36628
373,Melanie,36609
374,player2022609922,36605
375,Joan,36512
376,Malcolm,36463
377,Maya,36441
378,player2021985834,36425
379,Tiffany,36420
380,Julio,36419
381,player2021926887,36412
382,player2023568230,36339
383,player2023699919,36303
384,Jose,36273
385,player2023807207,36269
386,Sergio,36020
387,Dsaassa,35982
388,player2021111329,35959
389,Catherine,35604
390,Bloodrogue,35505
391,Hubert,35449
392,player2022498790,35406
393,Michael,35396
394,Carmen,35392
395,player2023817122,35364
396,Missyouto,35285
397,Santiago,35261
398,Ddeell,35243
399,Clifford,35174
400,player202137439,34923
401,Lois,34916
402,player2022228525,34880
403,Frederick,34874
404,Eugene,34851
405,Elijah,34765
406,player2021937607,34687
407,player2021124388,34614
408,Megan,34608
409,devotion,34536
410,Pennypincher,34411
411,Hector,34397
412,Tj,34386
413,Dorothy,34370
414,player202357256,34351
415,player2023521454,34298
416,player2022620867,34219
417,Harvey,34186
418,Cheryl,34182
419,player2023352492,34116
420,Alberto,34050
421,Patricia,33999
422,Nathan,33897
423,player202322928,33896
424,player2022208769,33860
425,Neeru,33811
426,player2023487150,33783
427,player2021698212,33771
428,Wad,33769
429,Phil,33692
430,Fl,33661
431,Ruth,33657
432,Instinct,33645
433,player2022444714,33619
434,Da,33524
435,Leon,33375
436,Blessed,33182
437,player2021160554,33170
438,Kasite,33113
439,Pellet,33002
440,player2023613156,32894
441,Mabel,32888
442,Juststandbyme,32810
443,player2023839155,32802
444,player2023239562,32746
445,player2021981201,32664
446,Mentality,32645
447,player2021970880,32396
448,player2021817310,32393
449,Morris,32371
450,player2021264046,32351
451,Luis,32328
452,NightDrunk,32299
453,Mediv,32258
454,Otherworldly,32257
455,Jeanne,32223
456,Ruby,32159
457,Marcos,32133
458,player2023620194,32028
459,player2023482878,31982
460,Marta,31912
461,Felicia,31900
462,Ron,31881
463,Trust,31734
464,Melinda,31617
465,Asdasd,31594
466,player2021132536,31535
467,player2023559822,31526
468,Patti,31512
469,player2023284647,31505
470,Randy,31493
471,player2023508496,31461
472,Angelica,31446
473,spoilsme,31387
474,Floatingdream,31358
475,Pathosis,31344
476,player2022281870,31308
477,All,31235
478,Aubrey,31099
479,Cripple,31069
480,Roderick,31051
481,Krystal,30907
482,Samantha,30837
483,Bernard,30824
484,Annie,30796
485,Anne,30776
486,Thedistance,30750
487,Elias,30506
488,player2023263582,30490
489,Terry,30443
490,Harold,30438
491,Leo,30344
492,Humonud,30306
493,Juana,30275
494,Fengzidiandi,30253
495,Randolph,30239
496,player2022416241,30201
497,Llpzs,30201
498,Irony,30050
499,timeinahurry,30008
500,Jfujf,29983
501,Iris,29959
502,player2022441421,29919
503,Zawrwr,29888
504,Brent,29860
505,player2023259863,29835
506,Nel,29821
507,Huoyunxieshe,29772
508,Stacey,29709
509,Jeff,29686
510,player2023201157,29685
511,Daisy,29655
512,player2021344801,29639
513,Kalimo,29581
514,Estelle,29497
515,Freddie,29415
516,Tina,29406
517,Kathryn,29394
518,player2022768667,29389
519,Louise,29380
520,Melba,29371
521,Curtis,29320
522,Brooke,29273
523,Stanley,29244
524,player2021937219,29170
525,player2023506022,29137
526,Stephanie,29078
527,Lena,28982
528,player2022698714,28972
529,Zz,28935
530,Earlysummer,28729
531,player2021930557,28657
532,Velma,28589
533,player2021726161,28365
534,Susan,28359
535,Brendan,28285
536,Affair,28216
537,player2021148275,28201
538,Ian,28130
539,Nrrew,28083
540,Everett,28004
541,Priscilla,27961
542,Wanyuyufei,27895
543,Pam,27828
544,player2023228344,27700
545,player2022446899,27662
546,player2022794070,27639
547,Jerald,27556
548,Jimmie,27520
549,Ar,27494
550,Lila,27492
551,Rodolfo,27478
552,player2021278756,27437
553,Dawn,27366
554,Sarah,27290
555,Caleb,27288
556,Molly,27231
557,player2022188137,27192
558,player2023401608,27117
559,Rosemarie,27112
560,Qq,26946
561,Tonya,26886
562,player2023842775,26883
563,player202128568,26824
564,player2023104204,26792
565,Emotional,26724
566,Cameron,26710
567,Vigourgirl,26694
568,player2021202092,26637
569,player202326710,26552
570,player2021898625,26468
571,player2023314171,26465
572,player2023928374,26438
573,Theshadow,26343
574,wave,26323
575,Breeze,26279
576,player2021930810,26218
577,Darlene,26217
578,Zl,26211
579,Fred,26101
580,Grady,26054
581,player2023447873,25991
582,Peggy,25988
583,Patsy,25920
584,Diane,25919
585,player2023586788,25884
586,Janet,25871
587,player2023498603,25847
588,Jill,25800
589,player2021284338,25760
590,Leroy,25705
591,player2021761574,25577
592,Lisa,25538
593,player2022842479,25520
594,Marvin,25438
595,Darkmagic,25379
596,Toni,25377
597,Lucia,25334
598,Christie,25082
599,Survivor,25071
600,Barefaced,24987
601,Killone,24856
602,Milton,24773
603,Alexis,24754
604,Toby,24700
605,grace,24682
606,Rickey,24439
607,player2022544811,24283
608,Sandra,24196
609,player2022894189,24080
610,Floyd,24028
611,Karen,23990
612,Loren,23945
613,Sham,23885
614,Ooui,23818
615,Victor,23806
616,Gene,23742
617,Uuffoo,23640
618,player2023324750,23607
619,Kerry,23586
620,Facz,23551
621,San,23508
622,Timmy,23482
623,Fghfghfghfgh,23414
624,Mzplock,23336
625,Darinl,23330
626,Terrance,23301
627,player2022379684,23258
628,Myra,23238
629,Ksm,23143
630,Mercedes,23140
631,Micheal,22941
632,Bs,22940
633,Relieved,22819
634,player2022742549,22778
635,player2022938067,22696
636,Kimberly,22617
637,Nirvarna,22507
638,Dahuzi?,22503
639,player2021156211,22495
640,Kelli,22485
641,Bradford,22393
642,Tasha,22392
643,player2021375530,22390
644,player2023885637,22363
645,Dale,22337
646,Wuyehaojiao,22322
647,Eveae,22308
648,Joewas,22279
649,Carla,22196
650,player2022731166,22188
651,Christine,22173
652,Sabrina,22172
653,player2022503783,22168
654,Leonard,22156
655,player2021361638,22118
656,player2021447419,22108
657,Orville,22049
658,Witches,21903
659,Rolando,21902
660,Halo,21876
661,Marianne,21848
662,Donna,21779
663,player2021530905,21728
664,player2023989213,21695
665,player2021314419,21632
666,Eddie,21625
667,player2021540473,21521
668,player2022378849,21491
669,Marjorie,21479
670,player2022600028,21456
671,Ronnie,21431
672,Earl,21385
673,player2021808635,21379
674,player2023844678,21377
675,Infatuation,21353
676,Violet,21324
677,Perry,21285
678,Pall,21257
679,Gerardo,21020
680,player2022412757,20804
681,Javier,20790
682,Bllzzard,20772
683,Marc,20747
684,Sally,20738
685,Saul,20680
686,Rosie,20595
687,Ocooki,20517
688,Refuse,20506
689,player2023213131,20496
690,player2023530544,20469
691,player2023933844,20272
692,Muriel,20245
693,Juanita,20245
694,Devil,20220
695,Confession,20207
696,player2023774206,20187
697,player20228088,20186
698,player2023771686,20165
699,Badrogue,20162
700,player202326710,19935
701,Oscar,19897
702,player2021660406,19886
703,Thomas,19609
704,Duane,19519
705,Sherman,19516
706,Asda,19496
707,Jhilj,19435
708,Janie,19369
709,player2021113498,19366
710,Terry,19257
711,Tim,19197
712,Ismael,19188
713,Fire,19039
714,Xiaomao,19035
715,Aloof,19026
716,Kenneth,18999
717,Jake,18926
718,Pandoraルo,18908
719,player2023135669,18889
720,Fannie,18848
721,player2021347207,18769
722,Nellie,18766
723,Gary,18714
724,Debbie,18711
725,Courtney,18677
726,player2021110592,18571
727,Lynne,18511
728,Hidingwho,18486
729,Shannon,18474
730,Rhonda,18390
731,player2023302738,18324
732,Insane,18229
733,player2023217775,18216
734,Krista,18206
735,Sadasdd,18039
736,player2021698198,18016
737,Sara,17938
738,Teri,17924
739,player2022106766,17911
740,Judith,17849
741,Rikuanhuo,17828
742,player2021418466,17822
743,player2021385970,17809
744,Dora,17792
745,Petheaven,17790
746,Jonathan,17680
747,Demag,17667
748,Julius,17607
749,player2023492192,17563
750,Polite,17527
751,Sey,17512
752,Sue,17481
753,Harriet,17473
754,Alan,17243
755,player20214916,17181
756,Olive,17174
757,player202282365,17142
758,Gamelife,17109
759,player2021280805,17083
760,player2021976526,17058
761,overdoes,17042
762,Rhythm,16898
763,Roy,16779
764,Huhu,16718
765,player202281406,16576
766,player2023645882,16507
767,Udead,16407
768,Willing,16333
769,Traci,16305
770,Terrence,16228
771,Elk,16216
772,Jerry,16157
773,Mack,16132
774,player202128899,16077
775,player2023254806,16023
776,Suzuka,15978
777,Misty,15957
778,RedLips,15956
779,Marco,15929
780,Erick,15881
781,Falling-Down,15863
782,player2021267727,15859
783,Ethel,15839
784,player2021356694,15836
785,Susie,15813
786,Salvatore,15810
787,Tame,15721
788,player2023918539,15711
789,player202140020,15678
790,player2022197146,15647
791,Fdgfdgdfg,15493
792,player202189533,15470
793,player2022786675,15412
794,Tyler,15401
795,player2023279795,15339
796,Roosevelt,15137
797,Bethany,15050
798,Werq,15031
799,player2022347116,15015
800,Omar,14479
801,player202186525,14451
802,Beatrice,14449
803,Sophie,14416
804,Gfbcv,14348
805,player2023150944,14345
806,Tony,14333
807,Mutu,14298
808,Janice,14141
809,player2021940874,14120
810,Joseph,14102
811,Erika,14041
812,Darren,14034
813,Tutubow,14031
814,player2023447875,14011
815,player2022264620,13975
816,ender,13944
817,Tommy,13822
818,Dean,13815
819,player2021183403,13687
820,Austin,13681
821,Vortex,13570
822,Galaxy,13570
823,LikeOldDream,13504
824,Deborah,13496
825,Sam,13494
826,rostiute,13481
827,Joanna,13462
828,Phyllis,13324
829,player2022232745,13278
830,Hisheart,13277
831,shakoil,13267
832,Irma,13256
833,melancholy,13237
834,player2022311538,13081
835,Tracy,12955
836,player2021280425,12952
837,Wandering,12930
838,Burning,12930
839,player2022905028,12808
840,player2022137278,12799
841,Magicboy,12772
842,Dying,12762
843,player2022247016,12748
844,Jartty,12735
845,Stewart,12730
846,Neil,12676
847,Amanda,12664
848,Mary,12627
849,Adzuki,12614
850,Constance,12597
851,cardiac,12586
852,Annette,12585
853,player2022711877,12563
854,Johanna,12539
855,Lynette,12443
856,Pat,12335
857,Hannah,12323
858,player2023695153,12296
859,Tom,12190
860,Pepsicola,12173
861,Shirley,12011
862,Grwefds,12001
863,Tolerance,11845
864,Mamie,11769
865,orangejuice,11758
866,Leslie,11687
867,player2023973830,11645
868,Sheldon,11643
869,Badyoung,11595
870,player2021815517,11579
871,Cassandra,11510
872,Beth,11510
873,Galaxy,11467
874,player2021947466,11354
875,Patty,11241
876,Caonimei,11150
877,Flora,11020
878,Joyce,11003
879,Angel,10892
880,Abracadabra,10880
881,Nichole,10766
882,Lotus,10749
883,player2023741376,10733
884,Finger,10730
885,Victoria,10670
886,player2021626417,10669
887,Wade,10509
888,Ramon,10478
889,player2022683563,10440
890,player2021878455,10407
891,Keith,10338
892,Huawei,10107
893,player2023468985,10099
894,player2022106029,10097
895,Dianne,10083
896,Edwin,10077
897,player2021638661,10077
898,Marion,10024
899,player2022628879,9930
900,Gted,9913
901,player2021923461,9862
902,Vurtnex,9835
903,Claire,9786
904,Leslie,9766
905,Shaun,9754
906,Jaime,9725
907,Wendy,9691
908,player2022814370,9688
909,player2023962824,9594
910,player2021977286,9575
911,Daddy,9572
912,player2023923861,9556
913,Edmund,9556
914,Ruben,9548
915,Laverne,9497
916,player2023127317,9447
917,Surplus,9364
918,Jhuthy,9311
919,Mindy,9241
920,Akilleuz,9207
921,Viola,9134
922,Kristine,9090
923,Tami,8859
924,Glenn,8694
925,Shellofaman,8647
926,player2021413420,8524
927,player2022537355,8440
928,Cindy,8314
929,player2023548816,8200
930,Karl,8163
931,Johnny,8109
932,player2023170297,8078
933,Jodi,8072
934,Alejandro,7991
935,Mimi,7980
936,Joann,7947
937,player202243746,7927
938,Tanya,7919
939,Eitrish,7917
940,Shelley,7880
941,player2021796423,7870
942,Preston,7865
943,Heart,7835
944,cowardice,7833
945,Ross,7779
946,Ricky,7748
947,Catherine,7715
948,Antonio,7687
949,Harry,7675
950,Shane,7656
951,Emma,7472
952,Ellen,7442
953,GIitter,7387
954,Millerwolf,7368
955,Bonnie,7366
956,Janis,7282
957,player2023764792,7127
958,Multilover,7124
959,Devil,6670
960,Dana,6503
961,stabbed,6485
962,Cary,6411
963,Hazel,6401
964,player2023117923,6390
965,Emilio,6363
966,Perry,6343
967,Eternal,6287
968,Ramiro,6274
969,Erica,6253
970,Big,6179
971,player2021308750,6100
972,player2022513651,6075
973,Sandy,6017
974,Kathleen,5944
975,player2023307746,5916
976,Simon,5912
977,Clyde,5903
978,Demon,5898
979,Asdfaa,5862
980,player2022728958,5740
981,Nightmare,5669
982,Gretchen,5650
983,Deceive,5609
984,Anna,5603
985,player2021257603,5583
986,Merle,5571
987,Ira,5569
988,Maria,5504
989,Woc,5489
990,Qazwsx,5472
991,Jeffery,5434
992,Alonso,5348
993,player2021939011,5313
994,Heidi,5254
995,player2023180243,5240
996,Brandi,5183
997,Jeffrey,5165
998,Ryan,5016
999,player2022260622,4975
1000,player2023742870,4847
1001,player2023767818,4844
1002,Marion,4804
1003,Clay,4706
1004,player2022994544,4686
1005,Terminator,4668
1006,Niuyeye,4507
1007,Anita,4487
1008,Faye,4387
1009,Samuel,4312
1010,player2022599479,4296
1011,Carol,4281
1012,Kristopher,4232
1013,Abracadabra,4231
1014,Jessie,4201
1015,Jimmy,4175
1016,player2022964394,4019
1017,Kneer,3971
1018,Jody,3952
1019,Michelle,3922
1020,Jeff,3912
1021,Olimonyb,3900
1022,player2023329614,3873
1023,Rodney,3726
1024,Perry,3568
1025,Christopher,3531
1026,Baib,3461
1027,defect,3409
1028,Louis,3330
1029,Wqedsf,3219
1030,player202268532,3200
1031,player2023486645,3174
1032,player2022524399,3107
1033,player2023918137,3101
1034,player2023581397,3070
1035,Clavicle,3062
1036,Audrey,2763
1037,Hope,2662
1038,player202191271,2626
1039,Caroline,2622
1040,Pentakill,2592
1041,Jorge,2555
1042,Ken,2487
1043,Custom,2478
1044,player202337674,2419
1045,player2021918018,2410
1046,player2022752834,2381
1047,Floating,2259
1048,player2023649529,2209
1049,Hilda,2190
1050,player2023585620,2173
1051,Shari,2169
1052,Eric,2083
1053,player202113090,2057
1054,player2023990385,1978
1055,Iuy,1972
1056,Ddffss,1899
1057,player2023601521,1895
1058,Amasi,1847
1059,Beofnoimportance,1818
1060,Yourmotherb,1793
1061,Amnesia,1715
1062,Vurtnetion,1635
1063,Elsa,1597
1064,overdoes,1540
1065,Gwen,1509
1066,Ta,1508
1067,nobody,1450
1068,Grace,1420
1069,Safdfs,1397
1070,Cecil,1326
1071,Maggie,1311
1072,Melune,1301
1073,Tuxx,1235
1074,player2021434773,1157
1075,player2021193598,1131
1076,Goobsb,1061
1077,Sharon,1027
1078,Xiaomi,960
1079,Sheri,926
1080,Frostbolt,921
1081,player2023683584,898
1082,Vortex,840
1083,Zs,734
1084,Das,627
1085,Wretch,593
1086,player2022825405,552
1087,Tuoba,495
1088,player2023516355,494
1089,James,494
1090,player2022668475,492
1091,player2023228292,475
1092,Emptyjoy,462
1093,Lm,461
1094,player2021534698,439
1095,Tracy,438
1096,player2021171685,438
1097,Crystal,436
1098,Destiny,433
1099,player2023348847,431
1100,Boyd,428
1101,Ivan,421
1102,Andersen,399
1103,Dustin,399
1104,Pandoraルo,396
1105,Jeremiah,396
1106,player2022687548,389
1107,player2022128084,387
1108,Myrtle,384
1109,Grant,383
1110,Miqi,383
1111,player2023725202,382
1112,player2023252323,382
1113,player202147288,376
1114,Ah,370
1115,Ts,368
1116,player2022671208,363
1117,player2021545201,354
1118,Sophia,347
1119,player2023899443,345
1120,Pate,344
1121,player2023264252,341
1122,Xuema,334
1123,player2023514497,329
1124,Wilfred,322
1125,Shawna,318
1126,Chris,316
1127,Terri,312
1128,Darnell,311
1129,Gcz,303
1130,Sylvia,303
1131,Norma,291
1132,player2021761276,290
1133,Amelia,290
1134,VeryStupid,287
1135,Sensitive,273
1136,player2023395889,267
1137,player2022974013,266
1138,Denise,258
1139,Latoya,257
1140,Er,254
1141,player2021126067,253
1142,Essie,251
1143,Drew,248
1144,Corey,244
1145,Johnnie,243
1146,Yandere,238
1147,Asfef,230
1148,Percy,227
1149,Rene,225
1150,Florence,224
1151,Jermaine,222
1152,Apollo,217
1153,Lamar,216
1154,Lionel,215
1155,Leideigaga,214
1156,Valor,212
1157,Mask,209
1158,Jared,208
1159,Tiy,202
1160,Alone,200
1161,Nidaye,181
1162,Jackie,179
1163,Lonely,169
1164,SuperJunior,168
1165,Survivor,164
1166,Dfada,162
1167,Lucky,159
1168,Max,154
1169,Dcant,147
1170,player2023593481,144
1171,player2022134690,143
1172,Jody,135
1173,Alcaw,125
1174,player2021717354,122
1175,Ora,119
1176,player202165520,110
1177,Howard,105
1178,orangejuice,86
1179,player2021774431,74
1180,Angela,55
1181,Shengh,48
1182,Marguerite,46
1183,Horace,44
1184,Zeus,41
1185,player2021107351,37
1186,player2023106248,36
1187,player20221097,35
1188,Mattie,32
1189,Jackie,27
1190,River,23
1191,player2023563528,23
1192,Justin,17
1193,Beobsessed,17
1194,player2022280297,15
1195,Nonfish,13
1196,Jonsnow,11
1197,Delete,8
1198,player2022747597,7
1199,player2022104795,6
1200,Vera,1
