#唯一Id,段位,分数,增加百分概率,最小值,最大值
%id,grade,score,probability,min,max
$[id:unique][id:type:int],[grade:type:int],[score:type:int],[probability:type:int],[min:type:int],[max:type:int]
78,7,0,85,1,18
79,7,300,75,10,11
80,7,600,65,10,13
81,7,900,55,10,16
82,7,1200,45,10,22
83,7,1800,35,10,30
84,7,2200,25,10,40
85,7,2600,15,10,50
86,7,3200,15,10,60
87,7,3800,15,10,70
88,7,4500,10,10,80
89,8,0,85,1,18
90,8,300,75,10,11
91,8,600,65,10,13
92,8,900,55,10,16
93,8,1200,45,10,22
94,8,1800,35,10,30
95,8,2200,25,10,40
96,8,2600,15,10,50
97,8,3200,15,10,60
98,8,3800,15,10,70
99,8,4500,10,10,80
100,9,0,85,1,18
101,9,300,75,10,11
102,9,600,65,10,13
103,9,900,55,10,16
104,9,1200,45,10,22
105,9,1800,35,10,30
106,9,2200,25,10,40
107,9,2600,15,10,50
108,9,3200,15,10,60
109,9,3800,15,10,70
110,9,4500,10,10,80
111,10,0,85,1,18
112,10,300,75,10,12
113,10,600,65,10,13
114,10,900,55,10,17
115,10,1200,45,10,24
116,10,1800,35,10,30
117,10,2200,25,10,40
118,10,2600,15,10,50
119,10,3200,15,10,60
120,10,3800,15,10,70
121,10,4500,10,10,80
122,11,0,85,1,18
123,11,300,75,10,12
124,11,600,65,10,13
125,11,900,55,10,17
126,11,1200,45,10,24
127,11,1800,35,10,30
128,11,2200,25,10,40
129,11,2600,15,10,50
130,11,3200,15,10,60
131,11,3800,15,10,70
132,11,4500,10,10,80
133,12,0,85,1,18
134,12,300,75,10,12
135,12,600,65,10,13
136,12,900,55,10,17
137,12,1200,45,10,24
138,12,1800,35,10,30
139,12,2200,25,10,40
140,12,2600,15,10,50
141,12,3200,15,10,60
142,12,3800,15,10,70
143,12,4500,10,10,80
144,13,0,85,1,18
145,13,300,75,10,12
146,13,600,65,10,13
147,13,900,55,10,17
148,13,1200,45,10,24
149,13,1800,35,10,30
150,13,2200,25,10,40
151,13,2600,15,10,50
152,13,3200,15,10,60
153,13,3800,15,10,70
154,13,4500,10,10,80
155,14,0,85,1,18
156,14,300,75,10,12
157,14,600,65,10,13
158,14,900,55,10,17
159,14,1200,45,10,24
160,14,1800,35,10,30
161,14,2200,25,10,40
162,14,2600,15,10,50
163,14,3200,15,10,60
164,14,3800,15,10,70
165,14,4500,10,10,80
166,15,0,90,1,36
167,15,300,80,10,30
168,15,600,70,10,13
169,15,900,60,10,17
170,15,1200,50,10,24
171,15,1800,40,10,30
172,15,2200,50,10,40
173,15,2600,50,10,50
174,15,3200,50,10,60
175,15,3800,50,10,70
176,15,4500,13,10,80
177,16,0,90,1,36
178,16,300,80,10,30
179,16,600,70,10,13
180,16,900,60,10,17
181,16,1200,50,10,24
182,16,1800,40,10,30
183,16,2200,50,10,40
184,16,2600,50,10,50
185,16,3200,50,10,60
186,16,3800,50,10,70
187,16,4500,13,10,80
188,17,0,90,1,36
189,17,300,80,10,30
190,17,600,70,10,13
191,17,900,60,10,17
192,17,1200,50,10,24
193,17,1800,40,10,30
194,17,2200,50,10,40
195,17,2600,50,10,50
196,17,3200,50,10,60
197,17,3800,50,10,70
198,17,4500,13,10,80
199,18,0,90,1,36
200,18,300,80,10,30
201,18,600,70,10,13
202,18,900,60,10,17
203,18,1200,50,10,24
204,18,1800,40,10,30
205,18,2200,50,10,40
206,18,2600,50,10,50
207,18,3200,50,10,60
208,18,3800,50,10,70
209,18,4500,13,10,80
210,19,0,90,1,36
211,19,300,80,10,30
212,19,600,70,10,13
213,19,900,60,10,17
214,19,1200,50,10,24
215,19,1800,40,10,30
216,19,2200,50,10,40
217,19,2600,50,10,50
218,19,3200,50,10,60
219,19,3800,50,10,70
220,19,4500,13,10,80
221,20,0,90,10,36
222,20,300,80,10,40
223,20,600,70,10,50
224,20,900,60,10,60
225,20,1200,50,10,70
226,20,1800,40,10,80
227,20,2200,50,10,75
228,20,2600,50,10,75
229,20,3200,50,10,75
230,20,3800,50,10,75
231,20,4500,13,100,200
232,21,0,90,10,36
233,21,300,80,10,40
234,21,600,70,10,50
235,21,900,60,10,60
236,21,1200,50,10,70
237,21,1800,40,10,80
238,21,2200,50,10,75
239,21,2600,50,10,75
240,21,3200,50,10,75
241,21,3800,50,10,75
242,21,4500,13,100,200
243,22,0,90,10,36
244,22,300,80,10,40
245,22,600,70,10,50
246,22,900,60,10,60
247,22,1200,50,10,70
248,22,1800,40,10,80
249,22,2200,50,10,75
250,22,2600,50,10,75
251,22,3200,50,10,75
252,22,3800,50,10,75
253,22,4500,13,100,200
254,23,0,90,10,36
255,23,300,80,10,40
256,23,600,70,10,50
257,23,900,60,10,60
258,23,1200,50,10,70
259,23,1800,40,10,80
260,23,2200,50,10,75
261,23,2600,50,10,75
262,23,3200,50,10,75
263,23,3800,50,10,75
264,23,4500,13,100,200
265,24,0,90,10,36
266,24,300,80,10,40
267,24,600,70,10,50
268,24,900,60,10,60
269,24,1200,50,10,70
270,24,1800,40,10,80
271,24,2200,50,10,75
272,24,2600,50,10,75
273,24,3200,50,10,75
274,24,3800,50,10,75
275,24,4500,13,100,200
